itemKeyA,itemKeyB
APPLIANCES-LARGE,APPLIANCES-SMALL
BATTERIES-LARGE,BATTERIES-SMALL
BEAMS-METAL,PIPES-METAL
BEAMS-METAL,METAL
BLURAY,DVDS
BLANKETS,PILLOWS
BLANKETS,TOWELS
BOTTLES-BEER,BOTTLES-GLASS
BOTTLES-BEER,CANS-BEER
BOTTLES-BEER,BOTTLES-WINE
BOTTLES-GLASS,BOTTLES-WINE
BOTTLES-PLASTIC-1,BOTTLES-PLASTIC-2
CANS,CANS-BEER
CAR-PARTS,CARS
CAR-PARTS,TIRES-CAR
CARS,TIRES-CAR
CLOTHING-GENTLYUSED,FABRIC
CLOTHING-GENTLYUSED,JACKETS
CLOTHING-GENTLYUSED,SHOES-GENTLYUSED
CUTLERY,DISHES
ELECTRONICS,ELECTRONICS-GAME-CONSOLES
ELECTRONICS,ELECTRONICS-SMARTPHONE
ELECTRONICS,INK-CARTRIDGES
FURNITURE-BEDROOM,FURNITURE-DININGROOM
FURNITURE-BEDROOM,FURNITURE-LIVINGROOM
FURNITURE-BEDROOM,FURNITURE-OFFICE
FURNITURE-DININGROOM,FURNITURE-OFFICE
FURNITURE-DININGROOM,FURNITURE-LIVINGROOM
FURNITURE-LIVINGROOM,FURNITURE-OFFICE
LUGGAGE,PURSES
MEDICATIONS,NEEDLES
METAL,PIPES-METAL
PAPER,PAPER-CARDBOARD
PAPER,PAPER-MAGAZINES
PAPER,WRITING-INSTRUMENTS
STYROFOAM,STYROFOAM-TRAYS
